id;email;first_name;last_name;role;created_at;promo_id
e6f8ea47-8ee9-45f8-9fd4-2cc04ef3d8f3;gcurneen0@people.com.cn;Graham;Curneen;Student;2021-11-03 01:12:53;f4cee247-e110-42f5-8b05-c260b08a20e5
1fec9134-f901-4b43-85a6-5f3cb43b29a7;pelintune1@de.vu;Puff;Elintune;Student;2022-02-10 15:22:14;f4cee247-e110-42f5-8b05-c260b08a20e5
c22a0fb1-36d4-433f-a157-2c2552caf596;mcowterd2@umich.edu;Mufinella;Cowterd;Student;2021-08-14 17:44:09;f4cee247-e110-42f5-8b05-c260b08a20e5
78799394-d443-409a-af89-50249b22f1fd;sscarlan3@vimeo.com;Stillmann;Scarlan;Student;2021-12-17 19:51:09;f4cee247-e110-42f5-8b05-c260b08a20e5
e120e100-1424-4d4a-a627-7e318bb0947e;fsyphas4@sphinn.com;Field;Syphas;Student;2022-02-15 04:52:55;f4cee247-e110-42f5-8b05-c260b08a20e5
8c431642-1165-40dc-a5f4-241af6db09b7;lmcgarrahan5@google.com;Lindy;McGarrahan;Student;2022-04-09 11:31:12;f4cee247-e110-42f5-8b05-c260b08a20e5
c7805999-e7bc-473d-aba3-826a814e68b8;tbradbury6@xinhuanet.com;Tim;Bradbury;Student;2021-07-20 02:18:31;f4cee247-e110-42f5-8b05-c260b08a20e5
63ecbaad-ad3b-486c-9fd6-a6c7159d8df7;wbrasseur7@ft.com;Whitney;Brasseur;Student;2021-11-11 02:31:55;f4cee247-e110-42f5-8b05-c260b08a20e5
77f7e543-877b-4cb6-a2f0-0c536a029760;jwardale8@nature.com;Jackson;Wardale;Student;2022-05-29 02:43:24;f4cee247-e110-42f5-8b05-c260b08a20e5
f5f617ba-5248-4ec5-8dc0-04bbb38d5033;agethin9@blogtalkradio.com;Annissa;Gethin;Student;2022-02-27 05:18:55;f4cee247-e110-42f5-8b05-c260b08a20e5
